Index,opt,timeOpt,locOpt,catOpt,modelOpt,iterations,learning_rate,depth,l2_leaf_reg,border_count,auto_class_weights,obj
0,0,raw,raw,catboost,CB,800,0.088403631,7,0.79424241,116,,0.643231897
1,0,raw,zone,catboost,CB,500,0.045232668,4,4.309709143,57,,0.617333953
2,0,raw,2dpos,catboost,CB,800,0.070877589,7,0.537213027,114,,0.642974169
3,0,raw,polar,catboost,CB,400,0.037987325,8,0.686383591,109,,0.639905683
4,0,raw,elliptic,catboost,CB,700,0.03152533,8,0.15615997,100,,0.635371088
5,0,addDur,raw,catboost,CB,400,0.074708295,9,0.783307439,118,,0.642234949
6,0,addDur,zone,catboost,CB,300,0.049352675,5,3.165236318,69,,0.61860322
7,0,addDur,2dpos,catboost,CB,600,0.053680449,8,0.571426491,125,,0.645511452
8,0,addDur,polar,catboost,CB,800,0.031931737,8,0.86163552,111,,0.639762244
9,0,addDur,elliptic,catboost,CB,500,0.036376244,9,0.19202279,99,,0.636002274
10,0,cyclic,raw,catboost,CB,600,0.046794157,6,0.180165787,89,,0.642109419
11,0,cyclic,zone,catboost,CB,700,0.032638305,4,0.348128005,71,,0.616593166
12,0,cyclic,2dpos,catboost,CB,300,0.133818642,6,1.246738102,96,,0.641776734
13,0,cyclic,polar,catboost,CB,600,0.190849991,6,8.782766538,115,,0.635679264
14,0,cyclic,elliptic,catboost,CB,500,0.058643275,6,0.120019192,83,,0.636402297
15,0,1dpos,raw,catboost,CB,700,0.060896376,8,0.117477948,107,,0.56295049
16,0,1dpos,zone,catboost,CB,500,0.119564682,6,0.708125292,68,,0.527531502
17,0,1dpos,2dpos,catboost,CB,400,0.05526314,8,0.112728936,84,,0.556698785
18,0,1dpos,polar,catboost,CB,600,0.152418396,4,0.234461006,120,,0.556236811
19,0,1dpos,elliptic,catboost,CB,700,0.073756487,8,1.386893078,75,,0.551037415
20,1,raw,raw,catboost,CB,800,0.066309997,7,0.203419152,116,,0.645405035
21,1,raw,zone,catboost,CB,200,0.058224155,7,0.450452604,101,,0.618190576
22,1,raw,2dpos,catboost,CB,600,0.090253248,7,0.136574985,110,,0.645878516
23,1,raw,polar,catboost,CB,600,0.091798071,8,0.249827725,125,,0.642842907
24,1,raw,elliptic,catboost,CB,600,0.056417449,8,0.109435239,81,,0.635268446
25,1,addDur,raw,catboost,CB,500,0.096047564,7,1.525331424,114,,0.64201781
26,1,addDur,zone,catboost,CB,700,0.030235138,8,2.126609464,108,,0.619088327
27,1,addDur,2dpos,catboost,CB,300,0.210219452,6,0.303135083,120,,0.64544786
28,1,addDur,polar,catboost,CB,800,0.044168007,7,0.118865946,126,,0.642580895
29,1,addDur,elliptic,catboost,CB,300,0.049581438,8,0.257610614,61,,0.635228638
30,1,cyclic,raw,catboost,CB,500,0.05230994,8,0.288300546,122,,0.642725015
31,1,cyclic,zone,catboost,CB,800,0.009153486,7,0.999671636,121,,0.617254829
32,1,cyclic,2dpos,catboost,CB,600,0.070255987,7,1.256550383,107,,0.643245114
33,1,cyclic,polar,catboost,CB,700,0.031308132,7,1.273410558,122,,0.637230723
34,1,cyclic,elliptic,catboost,CB,200,0.120119901,7,0.529941843,107,,0.636506847
35,1,1dpos,raw,catboost,CB,500,0.080310408,7,0.144402692,99,,0.560452206
36,1,1dpos,zone,catboost,CB,400,0.055173309,7,9.1115758,67,,0.526343676
37,1,1dpos,2dpos,catboost,CB,600,0.138003945,5,0.124150907,113,,0.558700673
38,1,1dpos,polar,catboost,CB,800,0.127331294,5,2.015259009,126,,0.554825838
39,1,1dpos,elliptic,catboost,CB,800,0.090129028,7,0.482975354,97,,0.55339792
40,2,raw,raw,catboost,CB,800,0.098835462,5,5.065004937,98,,0.639828881
41,2,raw,zone,catboost,CB,600,0.009150588,8,2.95505679,116,,0.619904952
42,2,raw,2dpos,catboost,CB,300,0.097817119,8,0.919524921,88,,0.642186976
43,2,raw,polar,catboost,CB,600,0.099507252,8,2.900789255,106,,0.639499012
44,2,raw,elliptic,catboost,CB,800,0.034393515,8,0.28271492,122,,0.637193
45,2,addDur,raw,catboost,CB,700,0.065179141,8,0.657936838,83,,0.642076916
46,2,addDur,zone,catboost,CB,500,0.027341273,6,0.344495512,86,,0.618706143
47,2,addDur,2dpos,catboost,CB,700,0.072130934,8,0.153473986,65,,0.645314417
48,2,addDur,polar,catboost,CB,600,0.052440268,6,2.832610602,118,,0.639025593
49,2,addDur,elliptic,catboost,CB,700,0.158478847,5,0.246439217,126,,0.637510061
50,2,cyclic,raw,catboost,CB,800,0.029317969,9,0.245062129,105,,0.644059169
51,2,cyclic,zone,catboost,CB,500,0.049606398,6,0.365726898,110,,0.615585742
52,2,cyclic,2dpos,catboost,CB,800,0.056510266,8,0.205993706,112,,0.644741779
53,2,cyclic,polar,catboost,CB,700,0.069792589,8,0.919527622,85,,0.63643812
54,2,cyclic,elliptic,catboost,CB,600,0.0202821,8,0.174297557,128,SqrtBalanced,0.63466195
55,2,1dpos,raw,catboost,CB,700,0.077188639,5,2.502636975,51,,0.556455512
56,2,1dpos,zone,catboost,CB,800,0.026000036,8,0.205765209,123,,0.527984723
57,2,1dpos,2dpos,catboost,CB,400,0.115339349,5,3.176556807,112,,0.55815959
58,2,1dpos,polar,catboost,CB,700,0.161819842,5,3.709577578,113,,0.553083787
59,2,1dpos,elliptic,catboost,CB,600,0.112000374,5,0.274483293,107,,0.550766513
60,3,raw,raw,catboost,CB,800,0.040468672,6,0.280762056,107,,0.639587661
61,3,raw,zone,catboost,CB,300,0.009059194,8,0.268642053,53,,0.620787182
62,3,raw,2dpos,catboost,CB,800,0.064914591,6,1.255065737,54,,0.638920431
63,3,raw,polar,catboost,CB,700,0.169015928,4,1.278703148,58,,0.635501939
64,3,raw,elliptic,catboost,CB,500,0.160817281,5,4.62026256,68,,0.633207413
65,3,addDur,raw,catboost,CB,800,0.059379481,6,2.311356195,115,,0.64038473
66,3,addDur,zone,catboost,CB,300,0.012747132,8,1.751242801,113,,0.620677982
67,3,addDur,2dpos,catboost,CB,500,0.110397224,8,2.879963108,100,,0.64347131
68,3,addDur,polar,catboost,CB,800,0.042977515,6,1.32494154,120,,0.639067405
69,3,addDur,elliptic,catboost,CB,600,0.059850414,7,5.209124556,124,,0.635457506
70,3,cyclic,raw,catboost,CB,700,0.063389529,5,0.26026045,127,,0.639861798
71,3,cyclic,zone,catboost,CB,400,0.0122812,8,0.122138965,38,,0.62029034
72,3,cyclic,2dpos,catboost,CB,500,0.143801332,7,7.802127252,122,,0.644439049
73,3,cyclic,polar,catboost,CB,700,0.033843934,8,1.577702433,128,,0.637994529
74,3,cyclic,elliptic,catboost,CB,400,0.108451907,7,0.505058061,80,,0.635683762
75,3,1dpos,raw,catboost,CB,700,0.046695579,8,0.684966805,74,,0.562794612
76,3,1dpos,zone,catboost,CB,700,0.02695577,5,0.113999553,65,,0.525257766
77,3,1dpos,2dpos,catboost,CB,800,0.093409396,7,0.868389429,116,,0.562925501
78,3,1dpos,polar,catboost,CB,800,0.051997827,6,0.159173933,66,,0.550991263
79,3,1dpos,elliptic,catboost,CB,600,0.061561216,7,0.149581443,87,,0.553033553
80,4,raw,raw,catboost,CB,700,0.054465035,8,0.314093469,127,,0.646276279
81,4,raw,zone,catboost,CB,600,0.035292687,5,5.266643582,56,,0.617853778
82,4,raw,2dpos,catboost,CB,800,0.070405615,8,0.572284677,109,,0.64577497
83,4,raw,polar,catboost,CB,700,0.056987468,7,0.209473766,92,,0.640722882
84,4,raw,elliptic,catboost,CB,600,0.081613342,6,8.644670101,32,,0.634124948
85,4,addDur,raw,catboost,CB,800,0.076729836,7,0.138364964,118,,0.645779326
86,4,addDur,zone,catboost,CB,800,0.028112963,5,4.465671153,78,,0.617985966
87,4,addDur,2dpos,catboost,CB,600,0.042738469,8,0.264673607,108,,0.642694457
88,4,addDur,polar,catboost,CB,800,0.044032841,8,3.501550958,116,,0.641678115
89,4,addDur,elliptic,catboost,CB,700,0.037539279,8,1.072178643,87,,0.635141351
90,4,cyclic,raw,catboost,CB,500,0.106104407,6,0.451315448,99,,0.643520899
91,4,cyclic,zone,catboost,CB,800,0.014918008,6,0.829835645,77,,0.616043639
92,4,cyclic,2dpos,catboost,CB,800,0.058144894,7,0.192178749,124,,0.646657699
93,4,cyclic,polar,catboost,CB,800,0.042103646,7,0.131664689,122,,0.640226322
94,4,cyclic,elliptic,catboost,CB,700,0.038192503,7,1.460220831,100,SqrtBalanced,0.634420854
95,4,1dpos,raw,catboost,CB,600,0.064031375,7,0.137021006,104,,0.558938022
96,4,1dpos,zone,catboost,CB,700,0.01870344,9,0.455503463,123,,0.528390422
97,4,1dpos,2dpos,catboost,CB,800,0.034456315,9,0.201312079,123,,0.56064036
98,4,1dpos,polar,catboost,CB,800,0.094263239,6,0.152697183,126,,0.55790051
99,4,1dpos,elliptic,catboost,CB,800,0.050884717,7,0.756097571,96,,0.552382811
100,5,raw,raw,catboost,CB,700,0.165026054,6,0.136845664,126,,0.645157506
101,5,raw,zone,catboost,CB,700,0.011280461,7,0.108623728,117,,0.620610156
102,5,raw,2dpos,catboost,CB,700,0.066442417,8,0.261318653,128,,0.647506875
103,5,raw,polar,catboost,CB,800,0.031320178,8,0.18338547,88,,0.639128619
104,5,raw,elliptic,catboost,CB,600,0.074609981,7,0.865387681,82,,0.636656764
105,5,addDur,raw,catboost,CB,500,0.068198851,9,0.316790495,122,,0.64378401
106,5,addDur,zone,catboost,CB,400,0.024706262,8,1.155085504,52,,0.620740494
107,5,addDur,2dpos,catboost,CB,800,0.060085283,7,0.835450542,73,,0.643967477
108,5,addDur,polar,catboost,CB,700,0.037634182,8,0.420589335,65,,0.637072673
109,5,addDur,elliptic,catboost,CB,600,0.036558324,8,0.103512994,82,,0.636634527
110,5,cyclic,raw,catboost,CB,600,0.086462305,6,0.364808903,100,,0.645019476
111,5,cyclic,zone,catboost,CB,500,0.025186898,6,3.963385426,66,,0.616014155
112,5,cyclic,2dpos,catboost,CB,800,0.042715449,7,0.270857772,116,,0.645407771
113,5,cyclic,polar,catboost,CB,800,0.044634558,8,0.691700636,116,,0.639709401
114,5,cyclic,elliptic,catboost,CB,700,0.028605651,7,0.655791318,65,SqrtBalanced,0.634005383
115,5,1dpos,raw,catboost,CB,700,0.021537056,9,0.175688251,108,,0.559388675
116,5,1dpos,zone,catboost,CB,700,0.019009084,7,0.638048151,119,,0.52571179
117,5,1dpos,2dpos,catboost,CB,500,0.083371378,6,0.13758071,104,,0.560957116
118,5,1dpos,polar,catboost,CB,800,0.151616253,5,1.449921675,125,,0.556260579
119,5,1dpos,elliptic,catboost,CB,500,0.071067619,8,0.719448271,123,,0.55191968
120,6,raw,raw,catboost,CB,700,0.058260444,5,0.173737884,124,,0.640833892
121,6,raw,zone,catboost,CB,700,0.007283839,9,0.75959734,115,,0.620728538
122,6,raw,2dpos,catboost,CB,600,0.081908008,6,0.246570317,87,,0.639338705
123,6,raw,polar,catboost,CB,500,0.091300132,5,0.327064762,82,,0.635680984
124,6,raw,elliptic,catboost,CB,800,0.12286736,5,0.151217539,124,,0.634122882
125,6,addDur,raw,catboost,CB,700,0.171886861,4,8.667670178,110,,0.640749177
126,6,addDur,zone,catboost,CB,300,0.016039077,9,2.43448153,75,,0.620723353
127,6,addDur,2dpos,catboost,CB,600,0.132900485,4,3.262022264,94,,0.638936424
128,6,addDur,polar,catboost,CB,700,0.091317452,5,0.409098652,114,,0.637706907
129,6,addDur,elliptic,catboost,CB,800,0.054015271,5,0.891528664,128,,0.632706844
130,6,cyclic,raw,catboost,CB,500,0.087404841,6,8.707820517,88,,0.638077772
131,6,cyclic,zone,catboost,CB,700,0.006665475,8,0.257860196,110,,0.620644299
132,6,cyclic,2dpos,catboost,CB,600,0.043961723,7,5.120083055,123,,0.638865809
133,6,cyclic,polar,catboost,CB,600,0.092096629,6,5.181813912,124,,0.63653736
134,6,cyclic,elliptic,catboost,CB,700,0.033399687,7,1.081384097,104,,0.631018671
135,6,1dpos,raw,catboost,CB,800,0.086974428,4,5.000836931,92,,0.552085132
136,6,1dpos,zone,catboost,CB,700,0.05070927,6,4.402517103,127,,0.52767049
137,6,1dpos,2dpos,catboost,CB,700,0.040042153,7,0.103312259,112,,0.562333652
138,6,1dpos,polar,catboost,CB,400,0.122807041,5,0.958163165,95,,0.551169215
139,6,1dpos,elliptic,catboost,CB,800,0.097409468,6,0.276210381,96,,0.550728903
140,7,raw,raw,catboost,CB,600,0.053430845,8,0.231404842,108,,0.645337322
141,7,raw,zone,catboost,CB,700,0.011922909,7,3.070397706,122,,0.618254362
142,7,raw,2dpos,catboost,CB,600,0.080392951,8,0.562421261,113,,0.647687767
143,7,raw,polar,catboost,CB,800,0.18790138,6,8.451727256,121,,0.640967386
144,7,raw,elliptic,catboost,CB,500,0.110853592,7,0.42022481,101,,0.638582484
145,7,addDur,raw,catboost,CB,800,0.109206631,7,0.843414633,107,,0.644963832
146,7,addDur,zone,catboost,CB,300,0.03359744,7,6.403949372,107,,0.618200792
147,7,addDur,2dpos,catboost,CB,700,0.037826653,9,0.144237983,117,,0.645855355
148,7,addDur,polar,catboost,CB,500,0.034824876,9,0.169812512,108,,0.638306103
149,7,addDur,elliptic,catboost,CB,300,0.105018108,7,0.661134255,118,,0.635888418
150,7,cyclic,raw,catboost,CB,700,0.097977536,6,0.175761816,125,,0.644133886
151,7,cyclic,zone,catboost,CB,800,0.013413512,6,2.813398514,102,,0.61644265
152,7,cyclic,2dpos,catboost,CB,300,0.084404071,8,0.168614697,126,,0.643049043
153,7,cyclic,polar,catboost,CB,700,0.08620641,5,0.145672375,111,,0.637184108
154,7,cyclic,elliptic,catboost,CB,300,0.141963422,6,0.14770733,120,,0.636190514
155,7,1dpos,raw,catboost,CB,800,0.047293894,6,0.17837556,105,,0.561106231
156,7,1dpos,zone,catboost,CB,700,0.056170634,5,0.154839733,116,,0.526764951
157,7,1dpos,2dpos,catboost,CB,800,0.059878839,6,0.890622355,86,,0.560695905
158,7,1dpos,polar,catboost,CB,800,0.16280969,5,2.117719157,121,,0.554924187
159,7,1dpos,elliptic,catboost,CB,800,0.13183592,5,1.678532675,121,,0.553705114
