Index,opt,timeOpt,locOpt,catOpt,modelOpt,kernel,C,class_weight,degree,coef0,gamma,obj
159,7,1dpos,elliptic,onehot,SV,rbf,1.299321787,balanced,,,0.41876524,0.441467911
160,8,raw,raw,onehot,SV,rbf,0.814385998,,,,0.456449185,0.60477427
161,8,raw,zone,onehot,SV,rbf,1.091479553,,,,0.123827889,0.614904254
162,8,raw,2dpos,onehot,SV,rbf,0.008919709,balanced,,,0.376519311,0.533172286
163,8,raw,polar,onehot,SV,rbf,1.289110405,,,,0.556486109,0.60560791
164,8,raw,elliptic,onehot,SV,rbf,1.36816397,,,,0.719282605,0.60377954
165,8,addDur,raw,onehot,SV,rbf,0.985378556,,,,0.378136373,0.600878346
166,8,addDur,zone,onehot,SV,rbf,0.230074879,balanced,,,0.014880158,0.580127967
167,8,addDur,2dpos,onehot,SV,poly,5.959197039,,2,0.490654203,0.597560926,0.5833164
168,8,addDur,polar,onehot,SV,rbf,1.133972925,,,,0.354887937,0.609160524
169,8,addDur,elliptic,onehot,SV,rbf,0.838252536,,,,0.326529586,0.611403777
170,8,cyclic,raw,onehot,SV,poly,4.470564083,,3,0.156612599,0.05366088,0.590102655
171,8,cyclic,zone,onehot,SV,poly,0.198798725,,2,0.109461742,0.287965896,0.612779108
172,8,cyclic,2dpos,onehot,SV,rbf,8.097283828,,,,0.600856386,0.573048981
173,8,cyclic,polar,onehot,SV,rbf,1.629998202,balanced,,,0.531999541,0.565472246
174,8,cyclic,elliptic,onehot,SV,rbf,1.039810902,,,,0.355155974,0.611456086
175,8,1dpos,raw,onehot,SV,poly,0.017342786,,3,0.614517777,0.295536498,0.463947263
176,8,1dpos,zone,onehot,SV,poly,0.021898154,,2,0.391886962,0.810074325,0.514660874
177,8,1dpos,2dpos,onehot,SV,poly,0.09380041,,3,0.981915064,0.914050158,0.449267349
178,8,1dpos,polar,onehot,SV,rbf,2.906478125,,,,0.056914367,0.485552698
179,8,1dpos,elliptic,onehot,SV,poly,0.295883257,,3,0.520401901,0.08805094,0.475924248
180,9,raw,raw,onehot,SV,rbf,0.651187591,,,,0.341547737,0.60391584
181,9,raw,zone,onehot,SV,rbf,0.479401815,,,,0.466372261,0.611807142
182,9,raw,2dpos,onehot,SV,rbf,9.233663803,,,,0.353913961,0.580662536
183,9,raw,polar,onehot,SV,rbf,0.961600824,,,,0.820436594,0.602666873
184,9,raw,elliptic,onehot,SV,rbf,0.78715167,,,,0.303767377,0.612281648
185,9,addDur,raw,onehot,SV,rbf,1.338159491,,,,0.698476693,0.602009279
186,9,addDur,zone,onehot,SV,rbf,1.200116494,,,,0.223971788,0.613938373
187,9,addDur,2dpos,onehot,SV,poly,0.055620869,,3,-0.867839247,0.712588667,0.578737318
188,9,addDur,polar,onehot,SV,rbf,0.3286199,,,,0.271298873,0.602512705
189,9,addDur,elliptic,onehot,SV,rbf,1.263418947,,,,0.101183328,0.605478556
190,9,cyclic,raw,onehot,SV,rbf,0.441783161,,,,0.44917895,0.600942117
191,9,cyclic,zone,onehot,SV,rbf,0.756099575,,,,0.308601455,0.615328621
192,9,cyclic,2dpos,onehot,SV,rbf,4.382546946,,,,0.274164016,0.581323686
193,9,cyclic,polar,onehot,SV,rbf,1.119624323,,,,0.432711043,0.61276283
194,9,cyclic,elliptic,onehot,SV,poly,0.003215476,balanced,2,0.989698875,0.315263606,0.557532157
195,9,1dpos,raw,onehot,SV,linear,0.049811937,balanced,,,,0.327371076
196,9,1dpos,zone,onehot,SV,poly,3.081591588,,2,0.426791929,0.075508579,0.517571009
197,9,1dpos,2dpos,onehot,SV,poly,1.073625318,,3,0.13082326,0.397842004,0.45315674
198,9,1dpos,polar,onehot,SV,rbf,4.131358252,,,,0.044029924,0.482932078
199,9,1dpos,elliptic,onehot,SV,poly,0.04466171,,3,0.835160678,0.176005977,0.472535188
200,10,raw,raw,onehot,SV,rbf,2.837270596,,,,0.277018802,0.596184887
201,10,raw,zone,onehot,SV,rbf,0.688405278,,,,0.345639663,0.615841198
202,10,raw,2dpos,onehot,SV,rbf,1.589573474,,,,0.440198142,0.58112455
203,10,raw,polar,onehot,SV,rbf,0.808081605,,,,0.359888284,0.609395471
204,10,raw,elliptic,onehot,SV,rbf,1.034939678,,,,0.437110857,0.61234578
205,10,addDur,raw,onehot,SV,rbf,1.160164932,,,,0.380116149,0.603164013
206,10,addDur,zone,onehot,SV,linear,0.003053502,balanced,,,,0.576800134
207,10,addDur,2dpos,onehot,SV,rbf,0.010406606,balanced,,,0.23841499,0.530402011
208,10,addDur,polar,onehot,SV,poly,0.019892076,,3,0.926156703,0.404450415,0.599950249
209,10,addDur,elliptic,onehot,SV,rbf,0.673038889,,,,0.326134843,0.611227427
210,10,cyclic,raw,onehot,SV,rbf,0.927754164,,,,0.371296415,0.604809577
211,10,cyclic,zone,onehot,SV,rbf,0.065828319,balanced,,,0.194124631,0.582296929
212,10,cyclic,2dpos,onehot,SV,rbf,0.013232851,balanced,,,0.265277403,0.53098253
213,10,cyclic,polar,onehot,SV,rbf,1.655834019,,,,0.376982898,0.610800919
214,10,cyclic,elliptic,onehot,SV,rbf,0.864893174,,,,0.288488376,0.612457892
215,10,1dpos,raw,onehot,SV,rbf,0.653739929,,,,0.259611297,0.473320339
216,10,1dpos,zone,onehot,SV,rbf,3.447152343,,,,0.043691016,0.517758873
217,10,1dpos,2dpos,onehot,SV,rbf,2.432165725,,,,0.160597591,0.439935986
218,10,1dpos,polar,onehot,SV,rbf,1.985292957,,,,0.145629446,0.48547942
219,10,1dpos,elliptic,onehot,SV,rbf,1.340249858,,,,0.091985778,0.484271406
220,11,raw,raw,onehot,SV,rbf,1.561077644,,,,0.848200275,0.602404662
221,11,raw,zone,onehot,SV,poly,0.478988164,,3,0.916198534,0.081450894,0.611827258
222,11,raw,2dpos,onehot,SV,rbf,1.131338659,,,,0.448042971,0.581719134
223,11,raw,polar,onehot,SV,rbf,0.641418562,,,,0.746492049,0.604064593
224,11,raw,elliptic,onehot,SV,rbf,0.899865746,,,,0.538119835,0.612494894
225,11,addDur,raw,onehot,SV,poly,6.233993222,,3,0.89934003,0.090761324,0.593968161
226,11,addDur,zone,onehot,SV,linear,0.003144547,balanced,,,,0.576693326
227,11,addDur,2dpos,onehot,SV,poly,0.008132648,balanced,3,0.607871763,0.10189661,0.524953008
228,11,addDur,polar,onehot,SV,rbf,1.242077363,,,,0.24447341,0.610681762
229,11,addDur,elliptic,onehot,SV,rbf,0.840772797,,,,0.281364922,0.611356331
230,11,cyclic,raw,onehot,SV,poly,2.606071489,,3,0.341398659,0.113503378,0.591102431
231,11,cyclic,zone,onehot,SV,rbf,3.087740464,,,,0.040231078,0.613768786
232,11,cyclic,2dpos,onehot,SV,poly,0.068845532,balanced,3,-0.568763072,0.067287026,0.533671896
233,11,cyclic,polar,onehot,SV,rbf,0.996527479,,,,0.388385796,0.613843146
234,11,cyclic,elliptic,onehot,SV,rbf,1.266666185,,,,0.446868742,0.61217642
235,11,1dpos,raw,onehot,SV,rbf,1.095837347,,,,0.146957436,0.474873255
236,11,1dpos,zone,onehot,SV,poly,2.469437049,,2,0.198735799,0.065612571,0.518075013
237,11,1dpos,2dpos,onehot,SV,poly,9.788060589,,3,0.198191601,0.163104635,0.452989124
238,11,1dpos,polar,onehot,SV,poly,0.198434327,,3,0.666467042,0.114741289,0.478515622
239,11,1dpos,elliptic,onehot,SV,rbf,2.083294991,balanced,,,0.959842769,0.420809134
240,12,raw,raw,onehot,SV,rbf,1.475228952,,,,1.30271879,0.600371289
241,12,raw,zone,onehot,SV,rbf,0.322810269,,,,0.413213647,0.613544492
242,12,raw,2dpos,onehot,SV,rbf,0.010778856,balanced,,,0.226818352,0.533096603
243,12,raw,polar,onehot,SV,rbf,1.220676381,,,,0.342333634,0.612576012
244,12,raw,elliptic,onehot,SV,rbf,1.735459668,,,,0.339477003,0.610205991
245,12,addDur,raw,onehot,SV,rbf,1.443422865,,,,0.46277084,0.607335764
246,12,addDur,zone,onehot,SV,rbf,3.84468134,,,,0.166272092,0.608419064
247,12,addDur,2dpos,onehot,SV,rbf,0.100851618,balanced,,,0.082283886,0.526846357
248,12,addDur,polar,onehot,SV,rbf,3.958096288,balanced,,,0.425173389,0.568885501
249,12,addDur,elliptic,onehot,SV,rbf,0.985745617,,,,0.595421649,0.607910831
250,12,cyclic,raw,onehot,SV,poly,0.01311253,balanced,3,0.327701873,0.112169377,0.549009896
251,12,cyclic,zone,onehot,SV,poly,0.003607783,,3,0.997166039,0.418883093,0.615782173
252,12,cyclic,2dpos,onehot,SV,poly,0.482516152,balanced,3,-0.354964003,0.037733853,0.533799966
253,12,cyclic,polar,onehot,SV,rbf,1.231307208,,,,0.256829725,0.613683855
254,12,cyclic,elliptic,onehot,SV,rbf,2.234923169,,,,0.206634031,0.610398137
255,12,1dpos,raw,onehot,SV,rbf,1.946753898,,,,0.104165357,0.472679836
256,12,1dpos,zone,onehot,SV,linear,0.431742634,,,,,0.514050159
257,12,1dpos,2dpos,onehot,SV,poly,1.012672378,,3,-0.542337316,0.839773079,0.449751354
258,12,1dpos,polar,onehot,SV,rbf,1.238969448,balanced,,,0.559666354,0.444302501
259,12,1dpos,elliptic,onehot,SV,poly,8.648280025,,3,0.975369671,0.048485843,0.478234543
260,13,raw,raw,onehot,SV,rbf,0.84923385,,,,0.388316055,0.605873382
261,13,raw,zone,onehot,SV,rbf,0.10054957,balanced,,,0.026904407,0.582019583
262,13,raw,2dpos,onehot,SV,poly,7.761170234,,3,-0.36711436,0.937799065,0.58581517
263,13,raw,polar,onehot,SV,rbf,0.895665138,,,,0.381053638,0.613619467
264,13,raw,elliptic,onehot,SV,poly,0.893959011,,3,0.914211778,0.084850871,0.60326122
265,13,addDur,raw,onehot,SV,rbf,1.559395178,,,,0.423849409,0.606509725
266,13,addDur,zone,onehot,SV,poly,2.148925355,,3,0.985154143,0.021276936,0.613074888
267,13,addDur,2dpos,onehot,SV,poly,2.654194158,,3,-0.106255043,0.741633531,0.58603772
268,13,addDur,polar,onehot,SV,rbf,0.874855463,,,,0.307983105,0.611192066
269,13,addDur,elliptic,onehot,SV,poly,0.112342671,,3,-0.080635908,0.250017498,0.599841907
270,13,cyclic,raw,onehot,SV,rbf,0.927839153,,,,0.593265118,0.607331318
271,13,cyclic,zone,onehot,SV,poly,0.028944951,,3,0.69728245,0.204397018,0.614969608
272,13,cyclic,2dpos,onehot,SV,rbf,0.011413773,balanced,,,0.2014788,0.531623838
273,13,cyclic,polar,onehot,SV,rbf,1.538357594,,,,0.218833389,0.614800328
274,13,cyclic,elliptic,onehot,SV,rbf,1.072967675,,,,0.401146754,0.610551654
275,13,1dpos,raw,onehot,SV,poly,1.327788921,,3,-0.01440828,0.074720502,0.464902917
276,13,1dpos,zone,onehot,SV,poly,0.890088868,,2,0.279854295,0.167068667,0.512909471
277,13,1dpos,2dpos,onehot,SV,rbf,0.904505359,,,,0.427061896,0.440683317
278,13,1dpos,polar,onehot,SV,rbf,2.904310876,,,,0.738841931,0.445210794
279,13,1dpos,elliptic,onehot,SV,rbf,2.206249663,,,,0.195660409,0.469863079
280,14,raw,raw,onehot,SV,rbf,0.864884677,,,,0.555799518,0.607818651
281,14,raw,zone,onehot,SV,linear,0.003141181,balanced,,,,0.577487515
282,14,raw,2dpos,onehot,SV,poly,0.877391081,,3,-0.167522016,0.65963969,0.584732213
283,14,raw,polar,onehot,SV,rbf,1.195816104,,,,0.370342311,0.613704529
284,14,raw,elliptic,onehot,SV,rbf,1.255962801,,,,0.401287408,0.613355651
285,14,addDur,raw,onehot,SV,rbf,1.277564291,,,,0.554941302,0.607212007
286,14,addDur,zone,onehot,SV,rbf,5.097291542,,,,0.031184883,0.61379563
287,14,addDur,2dpos,onehot,SV,rbf,3.43150006,,,,0.368441483,0.583130249
288,14,addDur,polar,onehot,SV,rbf,0.991120936,,,,0.467186831,0.614204111
289,14,addDur,elliptic,onehot,SV,poly,0.002037343,,3,-0.854583948,0.665788148,0.601679472
290,14,cyclic,raw,onehot,SV,rbf,1.295379769,,,,0.48891741,0.606468102
291,14,cyclic,zone,onehot,SV,poly,0.273717275,,3,0.03463954,0.09711987,0.611078482
292,14,cyclic,2dpos,onehot,SV,poly,3.663763104,,3,0.462482712,0.524839171,0.584055028
293,14,cyclic,polar,onehot,SV,rbf,1.754478025,,,,0.249184212,0.613081081
294,14,cyclic,elliptic,onehot,SV,poly,0.028954833,,3,0.388614646,0.679827351,0.604397337
295,14,1dpos,raw,onehot,SV,rbf,1.722354049,,,,0.118915594,0.472580967
296,14,1dpos,zone,onehot,SV,poly,1.645814238,,3,0.920962367,0.041998268,0.515615033
297,14,1dpos,2dpos,onehot,SV,rbf,1.318562436,balanced,,,2.372613676,0.392820123
298,14,1dpos,polar,onehot,SV,rbf,1.208932596,balanced,,,1.205578575,0.431328639
299,14,1dpos,elliptic,onehot,SV,poly,0.001320399,,3,0.719862334,0.94014513,0.475630381
300,15,raw,raw,onehot,SV,rbf,0.772655641,,,,0.605812207,0.607482219
301,15,raw,zone,onehot,SV,poly,0.134750237,,3,0.607189078,0.134769263,0.614023188
302,15,raw,2dpos,onehot,SV,rbf,3.759838525,,,,1.13575891,0.583230436
303,15,raw,polar,onehot,SV,poly,0.778154792,,3,-0.326514895,0.585165223,0.600984825
304,15,raw,elliptic,onehot,SV,rbf,2.930242168,,,,0.102177993,0.60979809
305,15,addDur,raw,onehot,SV,rbf,1.114612667,,,,0.591767664,0.605947763
306,15,addDur,zone,onehot,SV,rbf,1.015501648,,,,0.208028012,0.614021562
307,15,addDur,2dpos,onehot,SV,rbf,1.164729307,,,,1.074854713,0.583938158
308,15,addDur,polar,onehot,SV,poly,0.001311001,,3,0.906682037,0.721486612,0.601369694
309,15,addDur,elliptic,onehot,SV,rbf,0.54868779,balanced,,,0.254257754,0.554971122
310,15,cyclic,raw,onehot,SV,rbf,0.709594717,,,,0.426768288,0.607139077
311,15,cyclic,zone,onehot,SV,poly,0.441573634,,2,0.22840041,0.196371316,0.615644786
312,15,cyclic,2dpos,onehot,SV,poly,8.02336047,,3,0.167182193,0.512277613,0.584486303
313,15,cyclic,polar,onehot,SV,rbf,1.065157586,,,,0.582723917,0.61200376
314,15,cyclic,elliptic,onehot,SV,rbf,2.268327301,balanced,,,0.438989571,0.562951414
315,15,1dpos,raw,onehot,SV,poly,0.092041976,,2,-0.706903303,0.385854834,0.371987255
316,15,1dpos,zone,onehot,SV,linear,0.534258729,,,,,0.510768819
317,15,1dpos,2dpos,onehot,SV,rbf,4.314729218,balanced,,,2.133961662,0.379511795
318,15,1dpos,polar,onehot,SV,poly,0.229776764,,3,0.611735002,0.108614096,0.476493364
319,15,1dpos,elliptic,onehot,SV,rbf,2.602354888,,,,0.097882198,0.478321532
